SentimentText,label,language,urgency
"@RailMinIndia @SRailwayIndia Janani Sewa launched-Infant food now available at NVRR Platform-2,Palakkad Jn. https://t.co/fAS6JdTbgu",1,0,-1
@RailMinIndia  Dear sir...AC of sabarmati express is not working since last 4 hours.. Please do the needful.PNR 2864717564,7,0,0
@RailMinIndia there is no any intimation by railway about the tatkal ticket cancelation PNR n-2319127483 Trn n12430 96964500028004198641,8,0,1
"@RailMinIndia sir my train ticket is not comform from Abu Road to Mumbai, my mother is sick, plz help sirPNR NO 2217892889DOJ 9.6.16",4,0,1
@RailMinIndia Sir...........I am trying to make tickets from new delhi to darbhanga(Bihar) from last week not getting confirm.please help,4,0,0
@sureshpprabhu @RailMinIndia  sir train no 12488 have no Pantry Car....and important thing is that it is long route train....,7,0,1
@RailMinIndia got double tatkal tickets cnfrmd through same Login costing 12k technical issue costed double[IRCTC #3515189] @drmsecunderabad,4,0,1
"@RailMinIndia @sureshpprabhu our pnr is 8403479266 food is pathetic, water is not cool, cold drings is warm and sandwitch is stale....",7,0,1
"@RailMinIndia Thanks for UTS app for facilitating hassle free travel, but it's good to provide training for TC's also.@BhargavaTadi",1,0,-1
hanging chains of the middle berth broken  pnr 4512791357,7,0,0
@sureshpprabhu @RailMinIndia if you have delayed for me then thank you so muchBoarded on train thank you so much again,1,0,-1
@sureshpprabhu @RailMinIndia @gmner_gkp @DRM_ASN Train 15047  light are not working passengers are suffering #Help https://t.co/6fnIJV8Vga,7,0,1
@RailMinIndia PNR NO. 6107451949,1,0,-1
@RailMinIndia... security lags at delhi sarai Rohilla Rly stn... No checking... Xray scnr ws der but no body to operate that,6,0,1
@sureshpprabhu @RailMinIndia booked ticket for 14312 ADI to JP. Train is late by more than 8 hrs. Want to cancel the reservn bt not allowng,2,0,1
@RailMinIndia @sureshpprabhu 18546 East cost express sleeper class S9 toilet is too smelling from source station.,3,0,1
@RailMinIndia unable to trace my Parcel from delhi. I m from cbe. Parcel off staff have no idea whether material loaded or not. Wat do i do,8,0,1
14316 TTE comes only after hapur stn when majority of ticketless passengers have deboarded. It's useless to buy ticâ¦ https://t.co/aNSeZwgOwT,8,0,1
@RailMinIndia we are traveling in 19806 we have child who is vomiting much and water is not in any coach. Plz fill water in coaches and help,7,0,0
@RailMinIndia @khushalvakharia Thatâs poor railways.poor very poor.,8,0,0
@RailMinIndia sir ye sab hal habibaganj station (m.p) Bhopal ka hai toilet ka hai https://t.co/qXotLh1TtX,3,4,0
"@RailMinIndia @sureshpprabhu PNR - 6756068777, AC not working, dirty towel and pillow cover.",7,0,0
@RailMinIndia - fan not working on 12673 Cheran Express S11 70,7,0,0
"@RailMinIndia I'm Cancer Pt When I booked   tkt fr checkup with my brother as escort,they say no possiblities of tkt fr my daugh 6yr(1/2 tkt",4,0,1
@RailMinIndia @sureshpprabhu I'm a passenger in Aleppey-Chennai Superfast train. Hoping to catch at least last bus. :(#indianrailwaydelay,2,0,1
"@RailMinIndia Dear sir, The food served in most of shatabdi trains is substandard ,dal and paneer is tasteless.",7,0,1
@RailMinIndia there is huge huge scope to improve #train bathroom.. they r extremely dirty &amp; spread germs @sureshpprabhu #mumbai #india,3,0,1
@RailMinIndia @sureshpprabhu at patna jn pf- 3 shop exprss food delvry chargng 20 rs for 15 rs water bottle.pls take action. PNR:6553173362,8,0,1
@RailMinIndia Train about to arrive window clerk  Sadhana Sharma goes missing https://t.co/IowsfPtApN,6,0,2
"@IRCTC_Ltd @RailMinIndia @PiyushGoyalOffc If your clerk can give tickets than why he is not giving, why u advertisiâ¦ https://t.co/teieqXvILl",4,0,0
"@RailMinIndia Sir i m ankit singh previous day i had booked a ticket in tatkal quota but i get wt list please help me, Pnr no 6453141801",4,0,0
"@RailMinIndia @AbhayOjhaIn @atulmishrag1981 Sir,said missing person could not be traced despite best effort.Pl lodge missing report with GRP",8,0,2
@RailMinIndia PNR4740479198 coaches D1 and D2 are missing in the train. Please check it. Because of this I had to miss the train,4,0,1
@RailMinIndia I have a booking in Train Number 07006 RXL-HYB special from Gaya but when I want to see the current sâ¦ https://t.co/iI4vB2JJ8S,7,0,0
"@RailMinIndia Now, refund of ?780 only will be credited to my account soon, where is balance amount of ?143?Why this much of amount will...",8,0,0
"@DRMbhopal @RailMinIndia @sanjaygupta2012 sorry for inconvenience ,matter noted to @OPTGBSL",1,0,-1
@drm_apdj @RailMinIndia 12378 really shameful almost after 1 he train has departed from source and in 1st tweet traâ¦ https://t.co/lPUA5R1kqf,2,0,0
 User id: macrohit Date of booking : 28-11-17,1,0,-1
"@RailMinIndia I'm travelling in 64563 at present, no security man here nd gents are travelling in ladies coach. Train is abt 2 reach morinda",6,0,1
"@RailMinIndia , availability is less and requirement is high, but food vendor is not provoded proper response. Every item 5,10 rupees extra",8,0,1
Scenic #IndianRailways near #Igatpuri on #Mumbai - #Nasik route. #ThullGhat #KamayaniExpress @RailMinIndiaâ¦ https://t.co/nnkI29oaEL,1,0,-1
@RailMinIndia Unable to file TDR of my PNR NO - 8535014323 in last hour. Allowing wrong thing for TC,8,0,0
"@RailMinIndia travlng by 12328 trn Bi coach, surprised to find one toilet under lock n key. As such no word of cleanliness prevail in train",3,0,0
@RailMinIndia i feel like it will work as intercity trains carry maximum job proffessionals who have to reach office neat and clean,1,0,-1
@RailMinIndia need medical assistance in train 12554 pnr is 2417720180,5,0,2
many passengrs pnr 4512791357 feeling stomach upset after dinner frm railways pantry ,7,0,1
@sureshpprabhu trying to book a tatkal ticket from last 3 day but daily same problem exist. Please do some needful @RailMinIndia,8,0,1
@drmdelhi @RailMinIndia @srdomchgdli No reply..,1,0,-1
"@sureshpprabhu @RailMinIndia .. be it sleeper or AC, broken windows, rats and cockroaches moving freely, dirty old curtains and bed... (4)",3,0,1
@RailMinIndia @sureshpprabhu at TNDE railway station water cooler not working and not a single source of water a hell of service In 45C,8,0,1
@RailMinIndia it's 20:40 train is in kota but no one contacted or solves the Airconditioner matter in 12218 A1,7,0,0
@RailMinIndia When Evrythng of Railways is going 2 d Next Level y not Security Guard?Ur Fairly Place Kol ofc Securities r rude n misbehaved,6,0,1
"@RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",1,0,-1
RailMinIndia @bbiswajit88 Details not available pls.,1,0,-1
"@RailMinIndia No one is able to make TATKAL TICKETS except brokers at JPG station,take an immediate action now. railway staffs are with them",8,0,2
RT @RailMinIndia: Passenger traffic has also shown significant growth in Reserved &amp; suburban segments.Over  5Cr additional passengersâ¦ ,1,0,-1
"@DRMbhopal @RailMinIndia @BhusavalDivn Train departed from itarsi but concerned is delay, what if I miss flight dueâ¦ https://t.co/UyQIYzIFcJ",2,0,1
@DArpitBhargava @WesternRly @sureshpprabhu @PiyushGoyal @IndianRailMedia @RailMinIndia @DRM_Agra  kindly look into this,1,0,-1
@RailMinIndia PNR-2118939314Trn:12616Dt:10-06-2016Frm NGP to CD AC IS NOT WORKING FROM LAST HALF &amp; HOUR,7,0,0
"@RailMinIndia 2 bags with valuables stolen. How safe is travel on Indian Rail! PNR-8145511I31,8345511270 @sureshpprabhu",6,0,2
@CIDCO_Ltd @RailMinIndia @PiyushGoyal @PiyushGoyalOffc No light @Rabale stn plz check https://t.co/rvIz9LYKCF,8,0,1
@sureshpprabhu @RailMinIndia Sealdah Delhi Rajdhani 12313 is running 3 hrs late. Pls do something abt it as its urgent to reach Delhi.,2,0,1
@RailMinIndia @sureshpprabhu Brave work of RPF soldier at Railway Station - https://t.co/LjwyH2XDYM https://t.co/UkvbP3is4O,1,0,-1
@RailMinIndia @sureshprabhubjp Sir 12944 is running late by 1 and half hour..please help us,2,0,0
"RT @IndiaBTL: Glad to inform &amp; confirmed from multiple sources, the newspaper was not distributed by railways officially, but couâ¦",1,0,-1
So this is what India railways looks like. Can't get any better !! @IRCTC_Ltd @IndianRailMedia @RailMinIndiaâ¦ https://t.co/BKKYAL68oY,1,0,-1
@DRMbhopal @satyavsingh @RailMinIndia Sorry for inconvenience complaint will be attend at ITARSI,1,0,-1
@RailMinIndia current booking thr wr only 2 seat in ac2 so cant get confirmed..current booking wtng 1 in ac 2,4,0,0
"@RailMinIndia Look outside the boundary wall of Old Delhi Rly Stn.  Mess. by vendors, accumulated garbage, traffic jam , unusable urinals.",3,0,1
@RailMinIndia Even though we reach early and wait whole night outside post office for booking Tatkal Tkt we don't get it. But agents do.,4,0,2
"@RailMinIndia @sureshpprabhu phone robbed by""kinnar"" at mehboobnagar;""RPF &amp; TT"" REFUSED for proper help.""Need Help""",6,4,1
"@RailMinIndia  my wife is travelling by 12310 rajdhani, B3 56, she is having unbearable pain in stomach,needs medical assistance 138 nt wrkn",5,0,2
@RailMinIndia COMPLAINT NO.ticket ID: [IRCTC #3513198] KO CHECK KARKE PLEASE RESOLVE MY PROBLEM..    SHANKER NARYANI MB.8960095188,8,4,0
@sureshpprabhu @RailMinIndia @Rajeshbhargav19 Neither cooler working at Platform no 1RE nor water available in tap https://t.co/YJiWMK01yz,8,0,1
"@RailMinIndia @drmbct traveling with wife and 2 kids, can you help with berth allotment.. booked tickets",4,0,1
"@RailMinIndia @RailMinIndia Sir A couple traveling to SC by train 07092 with 2yr old kid  Due to train delay,milk tâ¦ https://t.co/KPcfVD4rkz",2,0,0
"@RailMinIndia @sureshpprabhu  sir, irctc site is completely down since 11 at the time of tatkal. Disappointed .",8,0,1
@DRM_BVP @ARM_SRC @drmkgp @RailMinIndia @sdmebvp1 Cleaning staff is now cleaning coach's floor in regular intervals,1,0,-1
@RailMinIndia @sureshpprabhu rain no.  05514 worst den summer special we r geting this kind of suvida in suvidha train mre den 8hrs late,2,4,1
@sureshpprabhu @RailMinIndia @drm_raipur No security for passengers on tarin Theft- chennai bilaspur express - 7june Fir filed lost valuable,6,0,1
@RailMinIndia launches optional catering scheme in two premier trainshttps://t.co/JS5GPqU4To,1,0,-1
@drmjabalpur @DRMbhopal @RailMinIndia @drmncrald @BhusavalDivn @PiyushGoyal It's not the solution,1,0,-1
@railminindia @sureshpprabhu  can't even use the restroom as the corridor is full of Unreserved passengers. Please help ASAP.2/2,7,0,1
RT @RailMinIndia: Member Traffic reviewed the April- Nov transportation  performance with Rly Board and Zonal Rly Officers and passedâ¦ ,1,0,-1
"@RailMinIndia change in name of E-Ticket passenger PNR No:4320260809 at Kurnool (KRNT),stating that 3 days required but rule is 24 hrs.",8,0,1
@drmsbc @RailMinIndia @srdensbc sir what is the update who has reviewed as  I do not see any action taken pl visit n take action,8,0,0
@sureshpprabhu kindly add water bottle in e catering menu. While I order a food of rs40 face problem coz min order amnt is 60. @RailMinIndia,8,0,0
@RailMinIndia @KaliaAjit @IR_ENHM Pls look into the matter @AmbalaCnW,1,0,-1
RT @sureshpprabhu: Holistic strategy to ensure growth https://t.co/YpOs5ZShmF,1,0,-1
@RailMinIndia Didnt expect such a service from Rajdhani after travelling Sampoorna kranti where service was fantastic.,7,0,0
@RailMinIndia @sureshpprabhu traveling in train no 12493 from pune. No cleaning services. Mosquito n flies in comprtmnt. Plz tkaction,3,0,0
@RailMinIndia Jbp pltfrm no.6 .This mess looks bad on an otherwise clean platform. https://t.co/peTDdynqVB,3,0,0
@RailMinIndia  pathetic satitution in Viashali Ex B112554.commercial staff allows  general tkt passanger in coach after takeing bribe Urgent,4,0,2
@RailMinIndia @drm_apdj I am facing trouble to name change of My fathers ticket to my name as per rule in NCB &amp; COB https://t.co/c2B2oawTYE,4,0,1
"@sureshpprabhu @RailMinIndia I ordered food through irctc catering from cumshum vendor to luk station, I didn't got food till now, hving kid",7,0,0
"@RailMinIndia &amp; @drmbrcwr, Pantry car ppl of Train number 12493 are overcharging on food and not providing Menu card. PNR 8535323910, B1 13",7,0,0
@RailMinIndia we are given best suggestions and solutions for Indian railway always confirmed rail tickets and connecting each other Indian,1,0,-1
@RailMinIndia thank u so much sir...my money has been refunded,1,0,-1
@drmncrald @abhineet_hit @RailMinIndia @PiyushGoyal @PMOIndia sorry for inconvenience.your complaint will attended at CNB/STN.,1,0,-1
@RailMinIndia why train status not shown on NTES when train is running delay b/w Mughalsarai and Allahabad. Much frustrated.,8,0,1
@sureshpprabhu @RailMinIndia Ijust wanna tl.that please make a strong server for irctc site.many times while booking a ticket.server goes.,8,0,1
@rpfcr @RailMinIndia @DrmSolapur @rpfcrsur HOW MANY MORE INNOCENT PEOPLE WILL HAVE TO #SUFFERING THIS KIND OFâ¦ https://t.co/NAYpG2Q3VH,8,0,0
"@RailMinIndia @RailwayNorthern @PiyushGoyalOffc this winter no fog now a days, still so late trains. It looks staffâ¦ https://t.co/x0ATy1Fd28",2,0,0
@RailMinIndia train 17211 on 8 june from gnt to ypr. dirty water in train. complaint to TC but no use. plz take action,3,0,0
@RailMinIndia train no 12554. Seat no A2 17. The charging socket is not working. My pnr no is 2865448765.,7,0,0
"@RailMinIndia @sureshpprabhu Can't even log in at tatkal time...why don't you increase bogie in Howrah Jamalpur express,disappointed",4,0,1
"@RailMinIndia @abhinavchabria Sir, u r laptop could not be traced despite best efforts. Thanks for calling us.",1,0,-1
@drmhyb @niraj1712 @SBKULAL @drmgtl @srdom_sc @phanipeddapall1 @drmsecunderabad @riyaj_ali @KantuleSanjay @drmnedâ¦ https://t.co/ikYQ8CYcY0,0,0,-1
@DRMbhopal @RailMinIndia @BhusavalDivn Could u all confirm at what time train will be reaching mumbai? @PiyushGoyalâ¦ https://t.co/Ko6SMCV4My,2,0,0
@RailMinIndia Sir want to set up rail neer bottling plant in Jaipur or nearby area. Could you let me know the process of this?,1,0,-1
@RailMinIndia @bbiswajit88 Details not available pls.,1,0,-1
"@RailMinIndia Dear Sir,Ticket with PNR-2119096244 was booked after paying ?923 &amp; automatically  cancelled due to non-availability of berths",4,0,0
"RT @aub2886: Win *FIFTY* #YA &amp; #NewAdult #UF #Fantasy, #Paranormal #Romance #PNR, &amp; #Dystopian, #ebooks or #paperbacks https://t.co/5UbyPKwâ¦",0,0,-1
@RailMinIndia @sureshpprabhu IS IT TRUE that ALP willb retired @age 55 instead of usual 60? This would be gross injustice if true @PMOIndia,1,0,-1
@RailMinIndia @sureshpprabhu you sud see how IRCTC functions at tatkal hours.people are suffering and are forced to pay 2k above to agents,4,0,2
@RailMinIndia @ankulaagarwal @TVC138 @IR_EDMECHG @crsechgsrly Matter informed to concern officials @CCRBCT @srdmebct .Regards,1,0,-1
@sureshpprabhu @RailMinIndia I booked a ticket in Nizamuddin Eranakulam Duronto and PNR is 2647352639 and current status is CKWL2,1,0,-1
"@RailMinIndia Pay&amp;use toilets on narkatiagnj jn pltfrm #2 overchrging fr toilet n urinte as Rs 8, there are no free toilts faclity on statn.",8,0,1
@RailMinIndia @sureshpprabhu Urgent Depute lady security force S4 seat 41-48 Ramnagar Exp 19061 Approaching Bharuch .,4,0,0
@sureshpprabhu @RailMinIndia i am in pune nizamudin duranto.There is water dropping in B5 toilet.Attended said it's like that only.,3,0,0
"@RailMinIndia @SCRailwayIndia Sir, Sri Mohd. JAMSHED MT, @AshwaniLohani Sri P.GUHA PRINCIPAL ED(Coachg) ð KINDLY REâ¦ https://t.co/MMlMoPJsmA",0,0,-1
@RailMinIndia travelling to surat to kanpurTrain no 02534 very bed condition of washbasin no water plz take step https://t.co/KEpQ1koHT0,3,0,0
@drmadiwr PNR No -2720271036,1,0,-1
"@RailMinIndia ,@sureshpprabhu Train no 11020  3rd A/C 80 tatkal ticket sold out in 1.3 second . trying since 8 June.no luck.",4,0,1
@RailMinIndia sir can you please let me know who will be doing the name chaï¿½ge I eticket.no one is responding here in my place.pl help,4,0,0
@sureshpprabhu @RailMinIndia water getting wasted at panvel station maharastra platform no7. Help draught situation https://t.co/DWGzcE560P,8,0,1
"@railminindia we are 4 person traveling frm train no 11071 in coach no b3, no water supply since morning,pls help.",7,0,0
@RailMinIndia my father is travelling with pnr 211-9093949 and he informed me that all the fans are not working in his coach cnt7773004713,7,0,0
@sureshpprabhu @RailMinIndia how is dat possible sir?we hv to give 200/- extra to da agent to buy tickets.this is not fair. Plz help.,4,0,1
